elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	336	676	9	16	3516	-1	-1	-1
5	361	752	9	16	4404	-1	-1	-1
10	362	952	9	16	5272	-1	-1	-1
15	364	1020	9	16	6105	-1	-1	-1
21	324	2184	9	16	6948	-1	-1	-1
26	304	2196	9	16	7748	-1	-1	-1
31	288	2204	9	24	8584	-1	-1	-1
36	289	2216	9	24	9429	-1	-1	-1
41	290	2224	9	24	10225	-1	-1	-1
46	291	2288	9	24	11116	-1	-1	-1
51	289	2292	9	24	11985	-1	-1	-1
56	290	2296	9	24	12883	-1	-1	-1
61	291	3324	9	24	13749	-1	-1	-1
66	292	3324	9	24	14655	-1	-1	-1
71	293	3328	9	24	15529	-1	-1	-1
76	294	3340	9	32	16407	-1	-1	-1
81	295	3340	9	32	17280	-1	-1	-1
87	296	3344	9	32	18178	-1	-1	-1
92	297	3408	9	32	19052	-1	-1	-1
97	298	3472	9	32	19961	-1	-1	-1
102	303	4496	9	32	20872	-1	-1	-1
107	303	4496	9	32	21772	-1	-1	-1
112	304	4496	9	32	22681	-1	-1	-1
117	302	3476	9	40	23578	-1	-1	-1
122	302	4500	9	40	24491	-1	-1	-1
127	302	4500	9	40	25391	-1	-1	-1
132	303	4500	9	40	26303	-1	-1	-1
137	303	5524	9	40	27199	-1	-1	-1
142	304	5524	9	40	28103	-1	-1	-1
148	305	5588	9	40	28995	-1	-1	-1
153	307	5588	9	40	29904	-1	-1	-1
158	308	5588	9	40	30795	-1	-1	-1
163	308	5588	9	48	31712	-1	-1	-1
168	309	5588	9	48	32593	-1	-1	-1
173	310	5588	9	48	33502	-1	-1	-1
178	283	6612	9	48	34400	-1	-1	-1
183	281	6612	9	48	35313	-1	-1	-1
188	282	6612	9	48	36227	-1	-1	-1
193	283	6676	9	48	37126	-1	-1	-1
198	284	6676	9	48	38033	-1	-1	-1
203	285	6744	9	56	38909	-1	-1	-1
208	286	4696	9	56	39793	-1	-1	-1
214	288	7768	9	56	40686	-1	-1	-1
219	289	1560	9	56	41604	-1	-1	-1
224	290	7768	9	56	42494	-1	-1	-1
229	291	7768	9	56	43404	-1	-1	-1
234	292	7768	9	56	44296	-1	-1	-1
239	295	7768	9	56	45198	-1	-1	-1
244	296	7768	9	56	46088	-1	-1	-1
249	297	7772	9	64	47002	-1	-1	-1
254	298	8860	9	64	47893	-1	-1	-1
259	299	8860	9	64	48809	-1	-1	-1
264	300	8860	9	64	49700	-1	-1	-1
269	301	8860	9	64	50602	-1	-1	-1
275	302	8860	9	64	51501	-1	-1	-1
280	303	8860	9	64	52405	-1	-1	-1
285	290	8860	9	64	53306	-1	-1	-1
290	292	9948	9	72	54196	-1	-1	-1
295	293	9948	9	72	55101	-1	-1	-1
300	295	9948	9	72	55992	-1	-1	-1
305	301	10012	9	72	56884	-1	-1	-1
310	301	10012	9	72	57783	-1	-1	-1
315	303	10012	9	72	58667	-1	-1	-1
320	305	10012	9	72	59580	-1	-1	-1
325	306	11036	9	72	60468	-1	-1	-1
330	307	11040	9	80	61367	-1	-1	-1
336	309	11040	9	80	62251	-1	-1	-1
341	309	11040	9	80	63126	-1	-1	-1
346	306	11040	9	80	64017	-1	-1	-1
351	308	11040	9	80	64922	-1	-1	-1
356	302	11104	9	80	65758	-1	-1	-1
361	304	11104	9	80	66586	-1	-1	-1
366	305	12128	9	80	67405	-1	-1	-1
371	307	12128	9	80	68244	-1	-1	-1
376	303	12132	9	88	69055	-1	-1	-1
381	303	12132	9	88	69891	-1	-1	-1
386	305	12132	9	88	70716	-1	-1	-1
391	307	12132	9	88	71548	-1	-1	-1
397	308	12196	9	88	72393	-1	-1	-1
402	309	13220	9	88	73208	-1	-1	-1
407	310	13220	9	88	74041	-1	-1	-1
412	312	5092	9	88	74847	-1	-1	-1
417	313	13284	9	96	75665	-1	-1	-1
422	314	13284	9	96	76465	-1	-1	-1
427	314	13284	9	96	77285	-1	-1	-1
432	317	13284	9	96	78108	-1	-1	-1
437	318	13284	9	96	78911	-1	-1	-1
442	318	13284	9	96	79728	-1	-1	-1
447	319	14308	9	96	80536	-1	-1	-1
453	320	14308	9	96	81335	-1	-1	-1
458	327	14308	9	96	82156	-1	-1	-1
463	326	14376	9	104	82959	-1	-1	-1
468	328	14376	9	104	83757	-1	-1	-1
473	329	14376	9	104	84571	-1	-1	-1
478	330	14376	9	104	85367	-1	-1	-1
