elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	278	1320	9	1808	1827	-1	-1	-1
5	277	1584	9	2169	2277	-1	-1	-1
10	295	2808	9	2710	2728	-1	-1	-1
15	323	2944	9	3071	3187	-1	-1	-1
20	354	3088	9	3603	3638	-1	-1	-1
25	363	3164	9	3957	4082	-1	-1	-1
30	363	4256	9	4495	4541	-1	-1	-1
36	364	5292	9	4854	4986	-1	-1	-1
41	349	5300	9	5384	5438	-1	-1	-1
46	347	5364	9	5743	5897	-1	-1	-1
51	366	5372	9	6285	6349	-1	-1	-1
56	389	5372	9	6649	6801	-1	-1	-1
61	415	5376	9	7188	7251	-1	-1	-1
66	440	6404	9	7551	7713	-1	-1	-1
71	469	6408	9	8093	8164	-1	-1	-1
76	496	6412	9	8452	8624	-1	-1	-1
81	416	7436	9	8993	9071	-1	-1	-1
86	416	7440	9	9342	9505	-1	-1	-1
91	417	8528	9	9864	9941	-1	-1	-1
97	418	8592	9	10211	10377	-1	-1	-1
102	436	8592	9	10724	10812	-1	-1	-1
107	456	8592	9	11078	11253	-1	-1	-1
112	469	8592	9	11604	11693	-1	-1	-1
117	479	8592	9	11957	12134	-1	-1	-1
122	496	9616	9	12482	12575	-1	-1	-1
127	516	10640	9	12831	13005	-1	-1	-1
132	489	10640	9	13356	13442	-1	-1	-1
137	502	8592	9	13879	13879	-1	-1	-1
142	530	10640	9	14228	14323	-1	-1	-1
147	558	9680	9	14752	14760	-1	-1	-1
153	592	11728	9	15112	15198	-1	-1	-1
158	621	6608	9	15631	15631	-1	-1	-1
163	684	11728	9	15974	16070	-1	-1	-1
168	676	11728	9	16330	16506	-1	-1	-1
173	680	11728	9	16852	16939	-1	-1	-1
178	660	13776	9	17213	17377	-1	-1	-1
183	646	13776	9	17730	17808	-1	-1	-1
188	619	13840	9	18082	18249	-1	-1	-1
193	628	13840	9	18603	18690	-1	-1	-1
198	636	13840	9	18964	19132	-1	-1	-1
203	643	14928	9	19487	19566	-1	-1	-1
209	647	14928	9	19835	20000	-1	-1	-1
214	655	14928	9	20368	20437	-1	-1	-1
219	663	14928	9	20717	20872	-1	-1	-1
224	671	14928	9	21242	21304	-1	-1	-1
229	681	15952	9	21592	21741	-1	-1	-1
234	698	16976	9	22127	22176	-1	-1	-1
239	723	16976	9	22481	22621	-1	-1	-1
244	748	16976	9	23000	23054	-1	-1	-1
249	758	16976	9	23353	23493	-1	-1	-1
254	775	17040	9	23877	23921	-1	-1	-1
259	800	18064	9	24234	24357	-1	-1	-1
265	809	18064	9	24770	24796	-1	-1	-1
270	823	18064	9	25117	25242	-1	-1	-1
275	850	18064	9	25653	25680	-1	-1	-1
280	878	19088	9	26012	26117	-1	-1	-1
285	892	20176	9	26537	26554	-1	-1	-1
290	910	20176	9	26892	26989	-1	-1	-1
295	936	20176	9	27249	27422	-1	-1	-1
300	1002	20176	9	27772	27852	-1	-1	-1
305	1012	20240	9	28129	28284	-1	-1	-1
310	1014	20240	9	28662	28732	-1	-1	-1
315	1011	21264	9	29010	29168	-1	-1	-1
320	933	21264	9	29548	29609	-1	-1	-1
326	944	21264	9	29908	30049	-1	-1	-1
331	948	22288	9	30442	30493	-1	-1	-1
336	954	22288	9	30790	30929	-1	-1	-1
341	959	23312	9	31322	31364	-1	-1	-1
346	967	23312	9	31677	31800	-1	-1	-1
351	974	23312	9	32205	32232	-1	-1	-1
356	981	23312	9	32559	32665	-1	-1	-1
