elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	323	620	9	40	3181	-1	-1	-1
5	359	692	9	48	3991	-1	-1	-1
10	361	904	9	64	4779	-1	-1	-1
15	363	972	9	65	5574	-1	-1	-1
20	364	1180	9	80	6382	-1	-1	-1
25	364	2220	9	88	7176	-1	-1	-1
30	366	2228	9	96	7979	-1	-1	-1
35	367	2240	9	104	8774	-1	-1	-1
40	368	2252	9	120	9581	-1	-1	-1
45	368	2320	9	120	10361	-1	-1	-1
50	369	2332	9	136	11148	-1	-1	-1
56	370	2332	9	144	11934	-1	-1	-1
61	370	2344	9	152	12751	-1	-1	-1
66	370	2352	9	168	13558	-1	-1	-1
71	371	3380	9	176	14344	-1	-1	-1
76	372	3392	9	184	15151	-1	-1	-1
81	373	3392	9	192	15974	-1	-1	-1
86	373	3400	9	200	16770	-1	-1	-1
91	350	3464	9	208	17541	-1	-1	-1
96	351	3536	9	224	18325	-1	-1	-1
101	338	3536	9	232	19174	-1	-1	-1
106	338	4624	9	240	20035	-1	-1	-1
112	295	4624	9	248	20851	-1	-1	-1
117	295	4624	9	256	21568	-1	-1	-1
122	290	4624	9	272	22351	-1	-1	-1
127	137	4624	9	280	23136	-1	-1	-1
132	182	4624	9	288	23906	-1	-1	-1
138	122	4624	9	296	24652	-1	-1	-1
143	111	4624	9	304	25388	-1	-1	-1
148	109	4688	9	320	26215	-1	-1	-1
153	165	5712	9	328	27031	-1	-1	-1
158	152	5712	9	336	27888	-1	-1	-1
163	165	5712	9	344	28735	-1	-1	-1
168	171	5712	9	352	29612	-1	-1	-1
173	174	5712	9	360	30375	-1	-1	-1
179	173	5712	9	376	31072	-1	-1	-1
184	177	5712	9	384	31926	-1	-1	-1
189	179	5712	9	392	32804	-1	-1	-1
194	181	1104	9	400	33693	-1	-1	-1
199	185	6864	9	408	34566	-1	-1	-1
204	186	6864	9	424	35440	-1	-1	-1
209	191	6928	9	432	36325	-1	-1	-1
214	193	6928	9	440	37193	-1	-1	-1
219	195	6928	9	448	38078	-1	-1	-1
224	197	1808	9	456	38950	-1	-1	-1
229	200	6928	9	464	39829	-1	-1	-1
234	201	7952	9	480	40705	-1	-1	-1
239	203	7952	9	488	41616	-1	-1	-1
245	206	6928	9	496	42515	-1	-1	-1
250	206	7952	9	504	43385	-1	-1	-1
255	208	8016	9	512	44256	-1	-1	-1
260	209	8016	9	520	45142	-1	-1	-1
265	210	8016	9	536	46009	-1	-1	-1
270	247	9040	9	544	46892	-1	-1	-1
275	247	9040	9	552	47778	-1	-1	-1
280	251	9040	9	560	48642	-1	-1	-1
285	252	9040	9	568	49522	-1	-1	-1
290	253	9104	9	584	50392	-1	-1	-1
295	255	9104	9	592	51266	-1	-1	-1
300	257	9104	9	600	52125	-1	-1	-1
306	268	9168	9	608	53039	-1	-1	-1
311	265	10192	9	616	53909	-1	-1	-1
316	268	10192	9	624	54798	-1	-1	-1
321	270	10256	9	640	55690	-1	-1	-1
326	271	10256	9	648	56572	-1	-1	-1
331	272	10256	9	656	57477	-1	-1	-1
336	272	10256	9	664	58337	-1	-1	-1
341	274	10256	9	672	59224	-1	-1	-1
346	276	11280	9	688	60116	-1	-1	-1
351	277	11280	9	696	60977	-1	-1	-1
356	278	11280	9	704	61884	-1	-1	-1
361	279	11344	9	712	62752	-1	-1	-1
367	280	11344	9	720	63625	-1	-1	-1
372	283	11344	9	728	64497	-1	-1	-1
377	284	11344	9	744	65368	-1	-1	-1
382	285	11344	9	752	66247	-1	-1	-1
387	286	12432	9	760	67101	-1	-1	-1
392	287	12432	9	768	67995	-1	-1	-1
397	288	12432	9	776	68885	-1	-1	-1
402	290	12432	9	784	69739	-1	-1	-1
407	290	12432	9	800	70565	-1	-1	-1
412	293	12496	9	808	71443	-1	-1	-1
417	294	12496	9	816	72334	-1	-1	-1
422	294	13584	9	832	73215	-1	-1	-1
427	290	13584	9	832	74127	-1	-1	-1
433	293	13584	9	848	75020	-1	-1	-1
438	294	13584	9	856	75904	-1	-1	-1
443	295	13584	9	864	76790	-1	-1	-1
448	297	13584	9	872	77647	-1	-1	-1
453	297	13584	9	887	78516	-1	-1	-1
458	300	13584	9	888	79380	-1	-1	-1
463	298	14672	9	904	80278	-1	-1	-1
468	298	14672	9	912	81128	-1	-1	-1
473	300	14672	9	920	82001	-1	-1	-1
478	302	14672	9	928	82869	-1	-1	-1
