elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	327	6460	1591	1757	1757	1757	1757	1757
5	365	8244	2033	2209	2209	2200	2200	2200
11	408	10104	2492	2660	2660	2660	2660	2660
16	437	11908	2940	3106	3106	3106	3106	3106
21	438	13764	3396	3567	3567	3567	3204	3567
26	439	15584	3847	4013	4013	4013	3650	4013
31	441	17436	4305	4474	4474	4474	3234	4474
36	428	19312	4768	4936	4936	4936	3696	4936
41	454	21108	5212	5393	5393	5393	3281	5393
46	493	23072	5683	5852	5852	5852	3740	5852
52	526	24904	6137	6318	6318	6318	3320	6318
57	566	26788	6604	6776	6776	6776	3778	6776
62	607	28640	7063	7241	7241	7241	3351	7241
67	644	30488	7521	7697	7697	7697	3807	7697
72	644	32332	7980	8161	8161	8161	3377	8161
77	647	34196	8441	8613	8613	8613	3829	8613
82	648	36076	8908	9080	9080	9080	3399	9080
87	648	37980	9365	9548	9548	9548	3867	9548
93	650	39860	9831	10001	10001	10010	3435	10010
98	651	41768	10290	10459	10459	10459	3884	10459
103	654	43552	10732	10909	10909	10909	3435	10909
108	679	45368	11184	11361	11361	11352	2986	11352
113	714	47216	11643	11822	11822	11812	3446	11812
118	748	49084	12108	12289	12289	12280	3009	12280
123	787	50964	12574	12752	12752	12743	3472	12743
129	745	52796	13030	13193	13193	13183	3026	13183
134	591	54572	13471	13651	13651	13660	3503	13660
139	644	56456	13938	14120	14120	14111	3068	14111
144	695	58336	14406	14585	14585	14587	3544	14587
149	748	60312	14880	15071	15071	15061	3119	15061
154	552	62216	15354	15546	15546	15538	3596	15538
160	535	64084	15817	16013	16013	16003	3170	16003
165	960	65964	16285	16481	16481	16481	3648	16481
170	963	67856	16764	16944	16944	16934	3226	16934
175	977	69852	17250	17429	17429	17429	3721	17429
180	960	71780	17714	17896	17896	17896	3282	17896
185	951	73708	18200	18374	18374	18374	3760	18374
191	961	75640	18676	18858	18858	18849	3311	18849
196	974	77556	19148	19329	19329	19329	3791	19329
201	966	79500	19615	19796	19796	19796	3342	19796
206	982	81396	20095	20268	20268	20268	3814	20268
211	940	83320	20564	20743	20743	20743	3378	20743
216	711	85188	21035	21202	21202	21202	3837	21202
222	636	87080	21500	21682	21682	21682	3387	21682
227	670	88964	21967	22145	22145	22145	3850	22145
232	642	90836	22440	22627	22627	22627	3417	22627
237	666	92780	22914	23091	23091	23091	3881	23091
242	720	94644	23381	23566	23566	23566	3445	23566
248	762	96556	23852	24043	24043	24043	3922	24043
253	799	98532	24331	24515	24515	24524	3500	24524
258	836	100484	24813	24996	24996	24996	3075	24996
263	863	102380	25283	25468	25468	25468	3547	25468
268	860	104328	25768	25953	25953	25943	3113	25943
274	836	106208	26244	26424	26424	26424	3594	26424
279	830	108212	26717	26902	26902	26902	3162	26902
284	826	110116	27190	27381	27381	27372	3632	27372
289	838	112028	27672	27855	27855	27855	3200	27855
294	871	113992	28155	28343	28343	28343	3688	28343
300	913	115928	28633	28826	28826	28817	3245	28817
305	1542	117764	29083	29271	29271	29271	3699	29271
310	1544	119720	29565	29745	29745	29745	3254	29745
315	1549	121668	30043	30226	30226	30226	3735	30226
321	1532	123608	30527	30710	30710	30710	3310	30710
326	1417	125492	30997	31179	31179	31179	3779	31179
331	1425	127404	31469	31650	31650	31650	3331	31650
336	1371	129300	31944	32122	32122	32122	3803	32122
341	1347	131196	32419	32604	32604	32604	3387	32604
347	1355	133136	32895	33090	33090	33090	3873	33090
352	1363	135092	33383	33560	33560	33560	3427	33560
357	1369	137080	33857	34042	34042	34042	3909	34042
