elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	290	1488	355	384	3481	384	356	384
6	285	1888	451	480	4370	480	360	480
11	301	2284	547	575	5279	575	359	575
16	329	2684	643	669	6201	664	358	664
21	330	3072	738	766	7129	760	360	760
26	331	3472	833	859	8033	856	360	856
31	352	3844	923	952	8928	952	368	952
36	372	4244	1019	1048	9833	1048	368	1048
41	373	4708	1115	1144	10754	1144	368	1144
46	376	5096	1211	1240	11623	1239	375	1239
51	393	5488	1307	1336	12538	1332	372	1332
57	394	5876	1402	1426	13414	1424	371	1424
62	395	6252	1494	1520	14322	1520	376	1520
67	396	6632	1587	1616	15243	1616	376	1616
72	396	7024	1683	1712	16139	1712	380	1712
77	398	7420	1779	1808	17036	1808	384	1808
82	399	7804	1875	1904	17948	1904	384	1904
87	416	8200	1971	2000	18849	1998	390	1998
92	417	8648	2066	2090	19747	2090	386	2090
97	417	9080	2157	2184	20647	2184	387	2184
102	413	9460	2251	2280	21571	2280	392	2280
108	422	9848	2347	2376	22459	2376	393	2376
113	423	10236	2443	2472	23352	2472	400	2472
118	424	10624	2539	2568	24265	2568	400	2568
123	409	11012	2634	2662	25116	2662	399	2662
128	413	11396	2730	2758	26028	2758	406	2758
133	392	11784	2825	2849	26930	2849	401	2849
138	386	12156	2917	2944	27844	2944	312	2944
143	317	12536	3011	3040	28768	3040	312	3040
148	355	12988	3107	3136	29680	3136	317	3136
154	390	13376	3203	3232	30583	3231	319	3231
159	382	13760	3298	3327	31493	3327	319	3327
164	386	14152	3395	3424	32380	3424	328	3424
169	398	14540	3490	3520	33265	3520	328	3520
174	399	14932	3587	3615	34152	3608	322	3608
179	400	15320	3683	3709	35073	3709	333	3709
184	401	15700	3779	3802	35987	3800	328	3800
189	411	16064	3867	3896	36882	3896	332	3896
194	417	16516	3963	3992	37749	3992	336	3992
200	419	16968	4059	4088	38633	4088	336	4088
205	419	17356	4155	4184	39507	4184	344	4184
210	420	17744	4251	4280	40409	4280	344	4280
215	422	18132	4346	4376	41296	4375	343	4375
220	423	18524	4443	4470	42176	4470	350	4470
225	423	18904	4537	4564	43090	4564	348	4564
230	424	19284	4631	4656	44000	4656	352	4656
235	428	19656	4723	4752	44905	4752	352	4752
240	428	20044	4819	4848	45777	4848	352	4848
246	429	20432	4915	4944	46655	4944	360	4944
251	430	20820	5011	5040	47574	5039	359	5039
256	434	21272	5107	5136	48478	5136	360	5136
261	435	21664	5203	5232	49376	5229	365	5229
266	436	22052	5299	5328	50269	5324	364	5324
271	437	22424	5391	5419	51143	5419	363	5419
276	437	22804	5485	5512	52058	5512	368	5512
281	474	23184	5579	5608	52964	5608	368	5608
286	475	23572	5675	5704	53869	5704	373	5704
292	477	24024	5771	5800	54769	5800	376	5800
297	477	24416	5867	5896	55652	5896	378	5896
302	478	24800	5963	5992	56547	5991	383	5991
307	479	25256	6059	6088	57449	6086	382	6086
312	469	25640	6154	6184	58361	6182	389	6182
317	470	26028	6250	6278	59243	6278	390	6278
322	471	26412	6345	6371	60141	6368	384	6368
327	472	26792	6439	6464	61014	6464	388	6464
333	473	27188	6537	6560	61924	6560	392	6560
338	473	27552	6627	6656	62798	6656	392	6656
343	472	27940	6723	6752	63689	6752	400	6752
348	473	28328	6819	6848	64590	6848	400	6848
353	474	28720	6915	6944	65463	6944	400	6944
358	475	29172	7011	7040	66358	7040	312	7040
363	474	29560	7107	7136	67259	7136	320	7136
368	475	29948	7203	7231	68158	7231	319	7231
374	477	30336	7299	7327	69043	7327	322	7327
379	477	30724	7395	7420	69947	7420	318	7420
384	477	31164	7488	7516	70825	7512	320	7512
389	477	31552	7583	7608	71713	7609	321	7609
394	478	31956	7683	7704	72607	7704	328	7704
399	479	32332	7776	7800	73518	7800	328	7800
404	481	32712	7870	7896	74397	7896	331	7896
409	459	33156	7964	7992	75250	7992	336	7992
415	454	33540	8061	8088	76090	8088	336	8088
420	454	33928	8155	8184	76928	8184	344	8184
425	455	34320	8251	8280	77778	8280	344	8280
430	463	34704	8347	8376	78628	8375	343	8375
435	464	35092	8442	8472	79487	8472	352	8472
440	464	35484	8539	8568	80316	8568	352	8568
445	465	35872	8635	8664	81160	8664	355	8664
450	466	36256	8730	8758	81994	8758	358	8758
456	467	36644	8826	8856	82846	8848	352	8848
461	468	37092	8922	8950	83676	8950	360	8950
466	466	37464	9017	9047	84525	9040	360	9040
471	467	37872	9113	9141	85337	9136	361	9136
476	478	38252	9208	9232	86145	9232	368	9232
