elapsed_s	rss_mb	state_kb	state_files	rows	deltas_in	shard_count	resident_shards	shard_activations
0	286	592	27	16	3230	16	16	16
5	289	756	27	16	4032	16	16	16
10	291	852	27	16	4843	16	16	16
16	293	1008	27	16	5638	16	16	16
21	294	1520	27	16	6440	16	8	16
26	296	1596	27	16	7239	16	8	16
31	297	1604	27	16	8026	16	8	16
36	298	1616	27	24	8843	24	16	24
41	300	1808	35	24	9642	24	16	24
46	301	1952	35	24	10463	24	16	24
51	304	2052	35	24	11248	24	16	24
56	304	2200	35	24	12056	24	8	24
61	305	2352	35	24	12839	24	8	24
67	307	2824	35	24	13639	24	8	24
72	308	2824	35	24	14449	24	8	24
77	313	2828	35	24	15249	24	8	24
82	314	2900	43	32	16031	32	16	32
87	263	3044	43	32	16848	32	16	32
92	266	3208	43	32	17680	32	16	32
97	267	3436	43	32	18521	32	16	32
102	259	3520	43	32	19342	32	8	32
107	259	4080	43	32	20140	32	8	32
113	261	4080	43	32	20945	32	8	32
118	263	4080	43	32	21749	32	8	32
123	263	4080	43	40	22539	40	16	40
128	264	4248	51	40	23351	40	16	40
133	264	4332	51	40	24155	40	16	40
138	265	4484	51	40	24955	40	8	40
143	266	4580	51	40	25759	40	8	40
148	266	5136	51	40	26566	40	8	40
153	270	5264	51	40	27382	40	8	40
159	271	5264	51	40	28223	40	8	40
164	272	5264	51	40	29070	40	8	40
169	273	5388	59	48	29900	48	16	48
174	276	5480	59	48	30710	48	16	48
179	276	5628	59	48	31501	48	16	48
184	276	5716	59	48	32319	48	8	48
189	276	6056	59	48	33113	48	8	48
194	250	6448	59	48	33920	48	8	48
199	250	6512	59	48	34718	48	8	48
204	248	6512	59	48	35535	48	8	48
210	256	6512	59	56	36362	56	16	56
215	254	6684	67	56	37185	56	16	56
220	255	6820	67	56	38012	56	16	56
225	258	6932	67	56	38864	56	8	56
230	260	7084	67	56	39717	56	8	56
235	260	7632	67	56	40551	56	8	56
240	261	7632	67	56	41369	56	8	56
245	261	7632	67	56	42152	56	8	56
250	262	7632	67	56	42956	56	8	56
255	262	7812	75	64	43751	64	16	64
261	260	7912	75	64	44556	64	16	64
266	259	8052	75	64	45359	64	16	64
271	258	8188	75	64	46158	64	8	64
276	257	8292	75	64	46963	64	8	64
281	257	8816	75	64	47757	64	8	64
286	257	8816	75	64	48551	64	8	64
291	258	8880	75	64	49345	64	8	64
296	259	8944	83	72	50141	72	16	72
301	223	9044	83	72	50945	72	16	72
307	220	9252	83	72	51737	72	16	72
312	258	9368	83	72	52548	72	16	72
317	256	9488	83	72	53335	72	8	72
322	253	10064	83	72	54136	72	8	72
327	252	10064	83	72	54939	72	8	72
332	253	10064	83	72	55753	72	8	72
337	253	10064	83	80	56571	80	16	80
342	253	10184	91	80	57365	80	16	80
347	252	10328	91	80	58142	80	16	80
352	251	10420	91	80	58919	80	16	80
358	255	10620	91	80	59704	80	8	80
363	255	10712	91	80	60478	80	8	80
368	255	11248	91	80	61275	80	8	80
373	253	11140	91	80	62058	80	8	80
378	253	11248	91	80	62825	80	8	80
383	259	11324	99	88	63628	88	16	88
388	261	11460	99	88	64419	88	16	88
393	262	11616	99	88	65200	88	16	88
398	262	11764	99	88	65990	88	8	88
403	263	11860	99	88	66801	88	8	88
409	263	12436	99	88	67585	88	8	88
414	264	12500	99	88	68406	88	8	88
419	265	12500	99	88	69219	88	8	88
424	266	12500	99	96	70022	96	16	96
429	266	12668	107	96	70820	96	16	96
434	267	12764	107	96	71614	96	16	96
439	269	12908	107	96	72376	96	8	96
444	269	12992	107	96	73171	96	8	96
449	270	13424	107	96	73959	96	8	96
454	270	13620	107	96	74750	96	8	96
460	271	13620	107	96	75550	96	8	96
465	272	13684	107	96	76334	96	8	96
470	272	13788	115	104	77108	104	16	104
475	273	13896	115	104	77925	104	16	104
